altura,altura_predita
108.3,108.35
114.9,114.4
115.4,114.4
113.9,113.85
109.5,111.55
128.05,128.35
119.8,118.9
117.3,117.65
109.4,109.5
118.9,119.3
113.65,114.1
112.9,112.2
116.0,117.05
102.7,105.05
103.75,104.5
117.25,117.5
117.4,117.8
102.6,102.4
117.05,116.35
103.45,103.75
104.35,102.85
99.8,100.1
101.15,102.6
102.75,105.05
102.8,102.6
107.65,106.25
115.3,116.75
114.35,115.25
111.15,111.1
106.05,105.4
100.95,101.2
100.69,99.8
100.1,99.8
109.95,109.4
109.11,109.05
109.4,109.45
115.9,116.35
105.8,104.9
104.9,102.75
114.7,115.4
102.85,102.4
119.9,119.3
112.9,111.6
113.35,112.55
98.32,96.6
110.85,112.2
114.1,113.37
115.1,114.9
111.6,112.9
105.05,106.65
101.4,99.75
114.45,115.4
121.65,123.0
109.6,108.1
101.2,102.4
108.1,108.32
110.15,109.8
114.0,110.95
109.8,110.75
101.0,100.95
113.15,112.5
94.85,98.32
111.1,111.15
105.4,105.5
106.2,106.5
119.55,117.4
117.5,116.75
110.7,114.0
107.9,109.6
116.35,116.85
108.32,108.25
114.3,115.15
111.55,109.8
102.5,102.7
113.72,113.66
116.75,116.1
111.95,111.1
115.4,116.85
110.1,111.55
117.8,119.45
109.05,109.15
109.5,109.4
103.76,103.15
108.1,107.9
108.25,108.32
119.45,119.2
109.9,109.8
108.25,109.8
113.37,114.35
128.35,127.0
126.05,127.0
108.1,107.9
120.5,121.4
116.75,117.5
109.5,111.55
116.1,115.55
120.0,119.5
121.1,121.0
117.8,116.8
114.9,115.4
116.8,116.85
121.35,119.2
113.66,113.72
110.95,111.05
104.0,104.9
105.05,102.75
111.45,112.75
108.25,108.3
110.7,112.05
108.35,109.95
108.25,107.2
119.2,119.45
107.8,108.0
114.25,114.9
100.2,99.75
118.1,117.8
106.2,104.35
106.25,106.5
109.15,109.8
115.8,114.25
97.2,96.6
115.9,115.4
115.7,116.8
101.6,100.95
106.0,105.9
119.5,118.65
114.5,115.25
115.5,114.45
113.3,113.9
106.5,106.25
107.2,106.5
115.25,114.45
114.6,114.25
119.3,119.75
104.0,104.9
120.3,121.35
118.65,119.9
114.1,114.5
119.9,118.65
102.5,101.15
112.2,112.0
114.4,115.3
114.3,115.25
110.0,109.5
113.85,114.05
115.15,114.9
108.55,108.32
110.1,109.5
117.75,118.1
127.0,128.35
121.8,123.0
110.35,110.35
105.7,108.55
117.05,116.35
119.75,119.9
102.4,102.65
105.5,106.65
112.55,112.9
108.0,107.9
112.5,114.05
117.05,117.65
109.3,110.0
110.55,112.75
107.9,108.0
106.65,106.2
112.75,110.7
111.6375,113.15
121.5,120.5
113.85,113.9
114.05,112.5
115.55,115.4
103.25,103.75
113.1,111.6375
110.9,110.55
105.05,104.0
112.0,112.2
109.5,109.95
107.5,104.9
104.35,106.2
115.55,115.8
114.9,114.5
110.4,110.35
116.35,116.8
115.6,115.5
101.25,101.0
99.75,101.4
119.2,121.35
110.15,110.75
113.35,111.6
118.3,117.3
102.1,102.4
124.3,127.0
110.75,109.8
102.65,100.1
115.4,115.9
109.8,110.65
121.2,121.4625
111.95,111.95
98.995,97.2
102.05,102.5
96.6,98.32
120.0,118.65
103.15,103.76
115.15,115.4
105.8,104.0
123.0,121.8
112.2,111.05
109.8,109.15
104.9,105.8
121.4625,121.65
105.45,106.65
109.45,108.25
112.05,110.7
106.65,106.2
116.85,117.8
115.2,114.1
121.4,121.0
118.5,116.35
110.35,110.35
109.75,110.15
117.65,117.3
121.0,121.8
104.5,102.7
110.65,110.75
128.7,127.0
114.0,115.8
108.85,110.0
111.05,112.2
105.9,106.0
