altura,altura_predita
114.9,113.35
115.4,121.8
113.9,116.8
109.5,110.55
128.05,121.1
119.8,117.3
117.3,110.1
109.4,109.11
118.9,116.35
113.65,114.5
112.9,109.45
116.0,108.1
102.7,101.25
103.75,108.1
117.25,116.85
117.4,117.25
102.6,103.76
117.05,104.0
103.45,104.5
104.35,103.45
99.8,106.25
101.15,101.4
102.75,102.6
102.8,102.85
107.65,104.35
115.3,113.85
114.35,114.3
111.15,117.3
106.05,116.75
100.95,101.0
100.69,103.25
100.1,94.85
109.95,109.4
109.11,106.05
109.4,109.95
115.9,109.4
105.8,109.5
104.9,102.5
114.7,115.3
102.85,104.35
119.9,117.5
112.9,109.5
113.35,114.9
98.32,100.1
110.85,109.45
114.1,111.55
115.1,116.85
101.4,102.05
114.45,115.5
121.65,120.5
109.6,103.45
101.2,102.7
108.1,115.4
114.0,110.95
109.8,111.55
101.0,101.6
113.15,117.05
94.85,96.6
119.55,121.5
117.5,118.3
110.7,108.25
114.3,114.35
111.55,114.1
102.5,103.76
113.72,112.55
116.75,112.0
115.4,116.0
117.8,117.05
109.05,109.4
109.5,109.11
103.76,105.7
108.25,109.6
119.45,120.0
108.25,103.75
113.37,113.35
128.35,126.05
126.05,115.4
108.1,108.25
120.5,117.05
116.75,113.3
109.5,113.66
120.0,119.5
121.1,117.5
117.8,119.75
114.9,111.6375
116.8,116.75
121.35,114.9
113.66,107.5
110.95,110.1
104.0,104.9
105.05,101.15
111.45,105.05
108.25,107.65
110.7,110.1
108.35,115.9
108.25,107.2
119.2,114.1
114.25,114.7
118.1,120.0
106.25,102.1
115.8,112.55
115.9,118.5
115.7,114.1
101.6,99.75
119.5,119.9
114.5,115.25
115.5,115.4
113.3,116.0
106.5,106.65
107.2,108.25
115.25,116.35
114.6,115.9
104.0,114.25
118.65,115.6
114.1,117.05
119.9,117.4
112.2,108.55
114.4,115.3
114.3,114.0
110.0,108.0
113.85,114.6
115.15,114.9
108.55,112.2
110.1,110.7
127.0,128.7
121.8,115.4
110.35,108.25
105.7,106.5
119.75,114.1
102.4,106.65
105.5,106.5
112.55,115.15
108.0,110.0
112.5,114.9
117.05,114.1
109.3,107.5
110.55,109.95
107.9,109.8
106.65,114.1
111.6375,113.3
121.5,119.2
115.55,115.25
103.25,104.35
113.1,119.5
110.9,107.9
105.05,109.6
112.0,109.8
109.5,109.5
107.5,109.8
104.35,102.85
115.55,117.05
114.9,121.4
110.4,106.65
116.35,114.5
115.6,119.2
101.25,105.5
99.75,103.15
119.2,121.5
110.15,110.65
113.35,115.9
118.3,120.0
102.1,106.5
124.3,121.8
102.65,106.65
115.4,111.6375
109.8,112.0
121.2,115.7
111.95,114.0
98.995,98.32
102.05,101.4
96.6,98.995
120.0,121.65
103.15,99.75
115.15,114.3
105.8,106.25
123.0,121.0
112.2,108.55
109.8,108.1
104.9,102.5
121.4625,119.45
105.45,105.7
109.45,115.9
112.05,104.0
106.65,102.1
116.85,115.1
115.2,112.55
121.4,121.4625
118.5,114.6
110.35,113.3
109.75,111.55
117.65,119.75
121.0,124.3
104.5,108.25
110.65,115.8
128.7,127.0
114.0,115.8
108.85,107.5
111.05,116.75
105.9,108.25
